category,utterance,expected_action,forbidden_action,priority
"relative_hour_offset","2時間後とか？","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","2時間後いけます？","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","2時間後って空いてますか？","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","今から2時間後で","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","あと2時間後くらい","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","あと2時間で行ける？","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","2時間あとにお願い","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","2時間後なら行けます","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","2時間後とか空いてる人います？","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","2時間後で取れますか","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","2時間後ぐらいどうですか","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","2時間後やったらいける","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","2時間後なら大丈夫です","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","2時間後でもいい？","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","2時間後から入れますか","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","2時間後に空きあります？","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","2時間後希望です","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","二時間後とかどう？","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","二時間あとで","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","二時間後いけるかな","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","3時間後とか？","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","3時間後いけます？","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","今から3時間後で","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","あと3時間くらい","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","3時間あとでお願い","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","3時間後なら行ける","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","3時間後に入れる？","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","3時間後とか空いてます？","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","3時間後で取って","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
"relative_hour_offset","三時間後とか","現在JST基準で相対時間を計算し requested_datetime を更新する","2時や3時など時計時刻として保存しない","100"
