intent,example
予約希望,40分くらいに着けるんですけど入れます？
予約希望,今から一人入れますか
予約希望,飲んでてすみません、予約したいです
予約希望,今からで予約したい
予約希望,今日いけるん？
予約希望,22時前の90分でお願いしたい
予約希望,よやく、あ、予約したいんですけど
予約希望,平日の夜で予約したい
予約希望,今晩kanaさんお願いできます？
予約希望,すいません、今日空いてますか
予約希望,えーとですね、今日空いてますか
予約希望,飲んでてすみません、今日空いてますか
予約希望,あの、今日誰かいる？
予約希望,夜、フリーで取れます？
予約希望,急でごめん、今日誰かいる？
予約希望,悪いんだけど、予約したいです
予約希望,電波悪いかもですけど、今日誰かいる？
予約希望,22時前、フリーで取れます？
予約希望,えっと、一人お願いしたい
予約希望,明日の昼に前に入った子お願いできます？
予約希望,10分くらいに着けるんですけど入れます？
予約希望,終電前から短いやついけます？
予約希望,明日の夜で予約したい
予約希望,21時くらいの60分でお願いしたい
予約希望,1時間後に今日いる子お願いできます？
予約希望,19時から一番安いやついけます？
予約希望,終電前の短いやつでお願いしたい
予約希望,夕方のロングでお願いしたい
予約希望,仕事終わりからスタンダードいけます？
予約希望,悪いんだけど、今日誰かいる？
予約希望,今から…入れる？
予約希望,お兄さん、予約したいです
予約希望,もしもし、一人お願いしたい
予約希望,名前は高橋で予約したい
予約希望,080の番号で予約入れてください
予約希望,21時くらい、フリーで取れます？
予約希望,明日の昼から普通のコースいけます？
予約希望,電波悪いかもですけど、今日空いてますか
予約希望,今晩いけまっか
予約希望,もしもし、まだ入れる？
予約希望,出先なんですけど、今日空いてますか
予約希望,ちょっと酔ってるんだけど、一人お願いしたい
予約希望,夜の普通のコースでお願いしたい
予約希望,もしもし、予約したいです
予約希望,すいません、今から行ける？
予約希望,今いいですか、今日空いてますか
予約希望,飲んでてすみません、今から行ける？
予約希望,仕事終わりなんですけど、まだ入れる？
予約希望,落ち着いた人で予約取りたい
予約希望,このあとから120分いけます？
予約希望,このあと一人入れますか
予約希望,出先なんですけど、予約したいです
予約希望,名前は小林で予約したい
予約希望,23時に葵さんお願いできます？
予約希望,明日の昼に一人入れますか
予約希望,夜に一人入れますか
予約希望,1時間後、フリーで取れます？
予約希望,ちょっと、今日誰かいる？
予約希望,前にも行ったんですけど、一人お願いしたい
