intent,utterance,expected_action,priority
date_context,12日,date_only_update,90
date_context,12日で,date_only_update,90
date_context,12日って,date_only_update,90
date_context,12日の,date_only_update,90
date_context,12日なんですけど,date_only_update,90
date_context,12日あたり,date_only_update,90
date_context,12日いけますか,date_only_update,90
date_context,12日どうですか,date_only_update,90
date_context,12日空いてますか,date_only_update,90
date_context,12日お願いしたい,date_only_update,90
date_context,12日にしたい,date_only_update,90
date_context,12日で見て,date_only_update,90
date_context,12日で確認して,date_only_update,90
date_context,12日やったら,date_only_update,90
date_context,12日なら,date_only_update,90
date_context,12日とか,date_only_update,90
date_context,12日くらい,date_only_update,90
date_context,12日で頼みたい,date_only_update,90
date_context,12日で取れる？,date_only_update,90
date_context,12日で入れる？,date_only_update,90
date_context,13日,date_only_update,90
date_context,13日で,date_only_update,90
date_context,13日って,date_only_update,90
date_context,13日の,date_only_update,90
date_context,13日なんですけど,date_only_update,90
date_context,13日あたり,date_only_update,90
date_context,13日いけますか,date_only_update,90
date_context,13日どうですか,date_only_update,90
date_context,13日空いてますか,date_only_update,90
date_context,13日お願いしたい,date_only_update,90
date_context,13日にしたい,date_only_update,90
date_context,13日で見て,date_only_update,90
date_context,13日で確認して,date_only_update,90
date_context,13日やったら,date_only_update,90
date_context,13日なら,date_only_update,90
date_context,13日とか,date_only_update,90
date_context,13日くらい,date_only_update,90
date_context,13日で頼みたい,date_only_update,90
date_context,13日で取れる？,date_only_update,90
date_context,13日で入れる？,date_only_update,90
date_context,14日,date_only_update,90
date_context,14日で,date_only_update,90
date_context,14日って,date_only_update,90
date_context,14日の,date_only_update,90
date_context,14日なんですけど,date_only_update,90
date_context,14日あたり,date_only_update,90
date_context,14日いけますか,date_only_update,90
date_context,14日どうですか,date_only_update,90
date_context,14日空いてますか,date_only_update,90
date_context,14日お願いしたい,date_only_update,90
date_context,14日にしたい,date_only_update,90
date_context,14日で見て,date_only_update,90
date_context,14日で確認して,date_only_update,90
date_context,14日やったら,date_only_update,90
date_context,14日なら,date_only_update,90
date_context,14日とか,date_only_update,90
date_context,14日くらい,date_only_update,90
date_context,14日で頼みたい,date_only_update,90
date_context,14日で取れる？,date_only_update,90
date_context,14日で入れる？,date_only_update,90
date_context,15日,date_only_update,90
date_context,15日で,date_only_update,90
date_context,15日って,date_only_update,90
date_context,15日の,date_only_update,90
date_context,15日なんですけど,date_only_update,90
date_context,15日あたり,date_only_update,90
date_context,15日いけますか,date_only_update,90
date_context,15日どうですか,date_only_update,90
date_context,15日空いてますか,date_only_update,90
date_context,15日お願いしたい,date_only_update,90
date_context,15日にしたい,date_only_update,90
date_context,15日で見て,date_only_update,90
date_context,15日で確認して,date_only_update,90
date_context,15日やったら,date_only_update,90
date_context,15日なら,date_only_update,90
date_context,15日とか,date_only_update,90
date_context,15日くらい,date_only_update,90
date_context,15日で頼みたい,date_only_update,90
date_context,15日で取れる？,date_only_update,90
date_context,15日で入れる？,date_only_update,90
date_context,16日,date_only_update,90
date_context,16日で,date_only_update,90
date_context,16日って,date_only_update,90
date_context,16日の,date_only_update,90
date_context,16日なんですけど,date_only_update,90
date_context,16日あたり,date_only_update,90
date_context,16日いけますか,date_only_update,90
date_context,16日どうですか,date_only_update,90
date_context,16日空いてますか,date_only_update,90
date_context,16日お願いしたい,date_only_update,90
date_context,16日にしたい,date_only_update,90
date_context,16日で見て,date_only_update,90
date_context,16日で確認して,date_only_update,90
date_context,16日やったら,date_only_update,90
date_context,16日なら,date_only_update,90
