category,utterance,expected_action,forbidden_action,priority
"relative_date_context",明日空いてますか？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",明日とか空いてますか？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",明日いけますか？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",明日っていける？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",明日誰かいます？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",明日予約できます？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",明日空いてる人います？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",明日お願いできます？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",明日行けますかね？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",明日取れますか？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",明日フリーいけます？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",明日空きある？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",あした空いてますか？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",あしたとか空いてますか？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",あしたいけますか？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",あしたっていける？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",あした誰かいます？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",あした予約できます？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",あした空いてる人います？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",あしたお願いできます？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",あした行けますかね？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",あした取れますか？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
"relative_date_context",あしたフリーいけます？,"requested_dateを現在日時基準で更新する","前回requested_dateを保持したままにしない",95
