key,aliases,category,safe_summary,features,not_included,priority
course_menu,コース|メニュー|種類|コース内容|サービス内容|どんなコース|何がある|何がありますか,course_overview,登録済みコースの時間と料金を案内します,短時間は要点中心、標準は全身とリンパ周り、長めはゆっくり相談しながら進めやすいです,未登録メニューは案内しません,100
legend_90,Legend Massage|レジェンドマッサージ|レジェンド|90分|九十分|標準コース,course_detail,標準の90分コースです,全身のリラクゼーションとリンパ周りのケアを落ち着いて受けやすい標準枠です,性的サービスは含みません,98
short_60,60分|六十分|短いコース|ショート,course_detail,短時間向けのコースです,時間を絞って疲れやすい箇所を中心に受けたい方向けです,未登録の場合は店舗確認です,84
standard_90,90分|九十分|標準|普通の長さ,course_detail,一番案内しやすい標準時間です,全身と気になる箇所をバランスよく確認しやすい時間です,性的サービスは含みません,92
long_120,120分|百二十分|長いコース|ロング,course_detail,長めにゆっくり受けたい方向けです,全身をゆっくり受けたい方や会話しながら落ち着いて過ごしたい方向けです,未登録の場合は店舗確認です,84
normal_lymph,通常リンパ|リンパ|リンパマッサージ|オイル,bodywork,オイルを使ったリラクゼーション中心の施術です,全身の疲れや緊張をほぐし、リンパ周りを丁寧に流す案内です,性的サービスは含みません,92
deep_lymph,ディープリンパ|DL|深リンパ|鼠径部集中|リンパ深め,bodywork,リンパ周りをより丁寧に確認する内容です,通常より重点的なリンパケアとして案内します。提供可否は店舗登録を優先します,性的サービスは含みません,98
groin_area,鼠径部|SKB|そけい部|そけいぶ|脚の付け根,bodywork,脚の付け根周辺のリンパがある部位です,メンズエステではリンパケアの説明で使われることがあります,男性器を指す案内はしません,96
whip,ホイップ|泡|泡洗体|泡オイル,option,泡を使ったリラクゼーション系オプションとして扱います,オイルと違う感触を楽しみたい方向けの表現です。登録がある場合のみ案内します,未登録なら店舗確認です,84
feather_touch,フェザー|フェザータッチ|優しいタッチ,option,軽いタッチのリラクゼーション表現です,刺激を強くせず、やわらかい施術感を好む方向けです,性的サービスは含みません,76
frog_leg,カエル脚|カエル足|蛙脚,position,体勢に関する表現です,施術体勢の希望として聞かれた場合は店舗確認に回します,過激な内容は案内しません,72
all_fours,四つん這い|4TB|4281|よつんばい,position,体勢に関する表現です,希望として聞かれた場合は店舗確認に回します,過激な内容は案内しません,72
mermaid,マーメード|マーメイド|添い寝施術,position,密着感を連想させる施術表現です,店舗登録やセラピスト対応可否がある場合のみ案内します,未登録なら店舗確認です,72
costume_option,衣装|コスチューム|ベビードール|BD|マイクロビキニ|MB|ノーブラ|NB|ノーパン|NP|トップレス|TL|オールヌード|AN,store_check,衣装や露出に関わる内容は店舗確認が必要です,登録済みの衣装オプションがある場合のみ案内します,電話AIでは露出内容を約束しません,90
nomination,指名|本指名|指名料|セラピスト指名,booking_rule,希望のセラピストを指定する予約方法です,指名の場合は空きと出勤を確認してから仮予約へ進みます,空き確認前に確定しません,90
free_booking,フリー|指名なし|おまかせ|誰でもいい,booking_rule,店舗側で対応可能な担当候補を確認する予約方法です,指名なしで早く空き候補を探しやすいです,担当確定は店舗確認後です,90
first_visit,初めて|初回|新規|初来店,customer_flow,初回来店かどうかを確認します,注意事項や店舗ルール確認後に仮予約へ進みます,確認なしに予約確定しません,80
repeat_visit,再訪|リピート|前にも行った|利用したことある,customer_flow,過去利用があるかを確認します,来店歴として予約情報に反映します,詳細履歴の断定はしません,80
extension,延長|時間延長|追加時間,store_check,延長は店舗確認が必要です,空き状況と次の予約次第で店舗側が判断します,電話AIでは確約しません,78
shower,シャワー|入浴|紙パンツ|横スカ,store_rule,来店時の案内や備品は店舗ルールに従います,詳細は予約確定後または店舗確認で案内します,過激な意味づけはしません,76
prohibited,禁止事項|NG|ルール|お触り|オイタ|自家発電|本番|抜き|手コキ|HJ|TKK,store_rule,禁止行為や性的サービスは案内できません,通常コースの予約と店舗ルール確認へ戻します,禁止行為を許可しません,100
therapist_feature,特徴|どんな子|雰囲気|タイプ|おすすめ|人気|セラピスト特徴,therapist_info,登録プロフィールと出勤状況をもとに案内します,雰囲気や対応可能時間を確認し、希望日時につなげます,見た目の断定や未登録情報は言いません,86
