"intent","style","example"
"セラピスト空き確認","標準","今日誰が空いてますか"
"セラピスト空き確認","標準","今日誰が空いてますか。"
"セラピスト空き確認","標準","今日誰が空いてますか？"
"セラピスト空き確認","標準","今日誰が空いてますかお願いします"
"セラピスト空き確認","標準","今日誰が空いてますか教えて"
"セラピスト空き確認","標準","今日誰が空いてますか確認したいです"
"セラピスト空き確認","標準","今日誰が空いてますかだけ知りたいです"
"セラピスト空き確認","標準","今日誰が空いてますか先に聞きたいです"
"セラピスト空き確認","標準","今日誰が空いてますか空きだけ見たいです"
"セラピスト空き確認","標準","今日誰が空いてますか予約するかはあとで決めます"
"セラピスト空き確認","標準","今誰が空いてますか"
"セラピスト空き確認","標準","今誰が空いてますか。"
"セラピスト空き確認","標準","今誰が空いてますか？"
"セラピスト空き確認","標準","今誰が空いてますかお願いします"
"セラピスト空き確認","標準","今誰が空いてますか教えて"
"セラピスト空き確認","標準","今誰が空いてますか確認したいです"
"セラピスト空き確認","標準","今誰が空いてますかだけ知りたいです"
"セラピスト空き確認","標準","今誰が空いてますか先に聞きたいです"
"セラピスト空き確認","標準","今誰が空いてますか空きだけ見たいです"
"セラピスト空き確認","標準","今誰が空いてますか予約するかはあとで決めます"
"セラピスト空き確認","標準","今から誰が空いてますか"
"セラピスト空き確認","標準","今から誰が空いてますか。"
"セラピスト空き確認","標準","今から誰が空いてますか？"
"セラピスト空き確認","標準","今から誰が空いてますかお願いします"
"セラピスト空き確認","標準","今から誰が空いてますか教えて"
"セラピスト空き確認","標準","今から誰が空いてますか確認したいです"
"セラピスト空き確認","標準","今から誰が空いてますかだけ知りたいです"
"セラピスト空き確認","標準","今から誰が空いてますか先に聞きたいです"
"セラピスト空き確認","標準","今から誰が空いてますか空きだけ見たいです"
"セラピスト空き確認","標準","今から誰が空いてますか予約するかはあとで決めます"
"セラピスト空き確認","標準","この後誰が空いてますか"
"セラピスト空き確認","標準","この後誰が空いてますか。"
"セラピスト空き確認","標準","この後誰が空いてますか？"
"セラピスト空き確認","標準","この後誰が空いてますかお願いします"
"セラピスト空き確認","標準","この後誰が空いてますか教えて"
"セラピスト空き確認","標準","この後誰が空いてますか確認したいです"
"セラピスト空き確認","標準","この後誰が空いてますかだけ知りたいです"
"セラピスト空き確認","標準","この後誰が空いてますか先に聞きたいです"
"セラピスト空き確認","標準","この後誰が空いてますか空きだけ見たいです"
"セラピスト空き確認","標準","この後誰が空いてますか予約するかはあとで決めます"
"セラピスト空き確認","標準","夜誰が空いてますか"
"セラピスト空き確認","標準","夜誰が空いてますか。"
"セラピスト空き確認","標準","夜誰が空いてますか？"
"セラピスト空き確認","標準","夜誰が空いてますかお願いします"
"セラピスト空き確認","標準","夜誰が空いてますか教えて"
"セラピスト空き確認","標準","夜誰が空いてますか確認したいです"
"セラピスト空き確認","標準","夜誰が空いてますかだけ知りたいです"
"セラピスト空き確認","標準","夜誰が空いてますか先に聞きたいです"
"セラピスト空き確認","標準","夜誰が空いてますか空きだけ見たいです"
"セラピスト空き確認","標準","夜誰が空いてますか予約するかはあとで決めます"
"セラピスト空き確認","標準","20時くらい誰が空いてますか"
"セラピスト空き確認","標準","20時くらい誰が空いてますか。"
"セラピスト空き確認","標準","20時くらい誰が空いてますか？"
"セラピスト空き確認","標準","20時くらい誰が空いてますかお願いします"
"セラピスト空き確認","標準","20時くらい誰が空いてますか教えて"
"セラピスト空き確認","標準","20時くらい誰が空いてますか確認したいです"
"セラピスト空き確認","標準","20時くらい誰が空いてますかだけ知りたいです"
"セラピスト空き確認","標準","20時くらい誰が空いてますか先に聞きたいです"
"セラピスト空き確認","標準","20時くらい誰が空いてますか空きだけ見たいです"
"セラピスト空き確認","標準","20時くらい誰が空いてますか予約するかはあとで決めます"
"セラピスト空き確認","標準","21時くらい誰が空いてますか"
"セラピスト空き確認","標準","21時くらい誰が空いてますか。"
"セラピスト空き確認","標準","21時くらい誰が空いてますか？"
"セラピスト空き確認","標準","21時くらい誰が空いてますかお願いします"
"セラピスト空き確認","標準","21時くらい誰が空いてますか教えて"
"セラピスト空き確認","標準","21時くらい誰が空いてますか確認したいです"
"セラピスト空き確認","標準","21時くらい誰が空いてますかだけ知りたいです"
"セラピスト空き確認","標準","21時くらい誰が空いてますか先に聞きたいです"
"セラピスト空き確認","標準","21時くらい誰が空いてますか空きだけ見たいです"
"セラピスト空き確認","標準","21時くらい誰が空いてますか予約するかはあとで決めます"
"セラピスト空き確認","標準","22時くらい誰が空いてますか"
"セラピスト空き確認","標準","22時くらい誰が空いてますか。"
"セラピスト空き確認","標準","22時くらい誰が空いてますか？"
"セラピスト空き確認","標準","22時くらい誰が空いてますかお願いします"
"セラピスト空き確認","標準","22時くらい誰が空いてますか教えて"
"セラピスト空き確認","標準","22時くらい誰が空いてますか確認したいです"
"セラピスト空き確認","標準","22時くらい誰が空いてますかだけ知りたいです"
"セラピスト空き確認","標準","22時くらい誰が空いてますか先に聞きたいです"
"セラピスト空き確認","標準","22時くらい誰が空いてますか空きだけ見たいです"
"セラピスト空き確認","標準","22時くらい誰が空いてますか予約するかはあとで決めます"
"セラピスト空き確認","標準","深夜誰が空いてますか"
"セラピスト空き確認","標準","深夜誰が空いてますか。"
"セラピスト空き確認","標準","深夜誰が空いてますか？"
"セラピスト空き確認","標準","深夜誰が空いてますかお願いします"
"セラピスト空き確認","標準","深夜誰が空いてますか教えて"
"セラピスト空き確認","標準","深夜誰が空いてますか確認したいです"
"セラピスト空き確認","標準","深夜誰が空いてますかだけ知りたいです"
"セラピスト空き確認","標準","深夜誰が空いてますか先に聞きたいです"
"セラピスト空き確認","標準","深夜誰が空いてますか空きだけ見たいです"
"セラピスト空き確認","標準","深夜誰が空いてますか予約するかはあとで決めます"
"セラピスト空き確認","標準","明日誰が空いてますか"
"セラピスト空き確認","標準","明日誰が空いてますか。"
"セラピスト空き確認","標準","明日誰が空いてますか？"
"セラピスト空き確認","標準","明日誰が空いてますかお願いします"
"セラピスト空き確認","標準","明日誰が空いてますか教えて"
"セラピスト空き確認","標準","明日誰が空いてますか確認したいです"
"セラピスト空き確認","標準","明日誰が空いてますかだけ知りたいです"
"セラピスト空き確認","標準","明日誰が空いてますか先に聞きたいです"
"セラピスト空き確認","標準","明日誰が空いてますか空きだけ見たいです"
"セラピスト空き確認","標準","明日誰が空いてますか予約するかはあとで決めます"
"セラピスト空き確認","標準","週末誰が空いてますか"
"セラピスト空き確認","標準","週末誰が空いてますか。"
"セラピスト空き確認","標準","週末誰が空いてますか？"
"セラピスト空き確認","標準","週末誰が空いてますかお願いします"
"セラピスト空き確認","標準","週末誰が空いてますか教えて"
"セラピスト空き確認","標準","週末誰が空いてますか確認したいです"
"セラピスト空き確認","標準","週末誰が空いてますかだけ知りたいです"
