category,utterance,expected_action,forbidden_action,priority
relative_date_context,今日空いてますか,relative_dateを会話基準日時から解決しrequested_dateを更新してから空き確認する,前回requested_dateを維持したまま予約確定または空き回答しない,95
relative_date_context,今日空いてますかお願いします,relative_dateを会話基準日時から解決しrequested_dateを更新してから空き確認する,前回requested_dateを維持したまま予約確定または空き回答しない,95
relative_date_context,今日空いてますかすぐ確認できますか,relative_dateを会話基準日時から解決しrequested_dateを更新してから空き確認する,前回requested_dateを維持したまま予約確定または空き回答しない,95
relative_date_context,今日空いてますか前の話はいったん忘れて,relative_dateを会話基準日時から解決しrequested_dateを更新してから空き確認する,前回requested_dateを維持したまま予約確定または空き回答しない,95
relative_date_context,今日空いてますか今の基準で見てください,relative_dateを会話基準日時から解決しrequested_dateを更新してから空き確認する,前回requested_dateを維持したまま予約確定または空き回答しない,95
relative_date_context,今日空いてますか電話だと伝わりますか,relative_dateを会話基準日時から解決しrequested_dateを更新してから空き確認する,前回requested_dateを維持したまま予約確定または空き回答しない,95
relative_date_context,今日空いてますかできれば早めで,relative_dateを会話基準日時から解決しrequested_dateを更新してから空き確認する,前回requested_dateを維持したまま予約確定または空き回答しない,95
relative_date_context,今日空いてますか候補だけ知りたいです,relative_dateを会話基準日時から解決しrequested_dateを更新してから空き確認する,前回requested_dateを維持したまま予約確定または空き回答しない,95
relative_date_context,今日空いてますかその日でお願いします,relative_dateを会話基準日時から解決しrequested_dateを更新してから空き確認する,前回requested_dateを維持したまま予約確定または空き回答しない,95
relative_date_context,今日空いてますか空き次第で大丈夫です,relative_dateを会話基準日時から解決しrequested_dateを更新してから空き確認する,前回requested_dateを維持したまま予約確定または空き回答しない,95
relative_date_context,今日で予約できますか,relative_dateを会話基準日時から解決しrequested_dateを更新してから空き確認する,前回requested_dateを維持したまま予約確定または空き回答しない,95
relative_date_context,今日で予約できますかお願いします,relative_dateを会話基準日時から解決しrequested_dateを更新してから空き確認する,前回requested_dateを維持したまま予約確定または空き回答しない,95
